question,answer
what drug reverses the effect of heparin,"When clinical circumstances (bleeding) require reversal of heparinization, protamine sulfate (1% solution) by slow infusion will neutralize heparin sodium."
what is fluoride,"The mineral fluoride occurs naturally on earth and is released from rocks into the soil, water, and air. All water contains some fluoride. Usually, the fluoride level in water is not enough to prevent tooth decay; however, some groundwater and natural springs can have naturally high levels of fluoride. Fluoride has been proven to protect teeth from decay. Bacteria in the mouth produce acid when a person eats sugary foods. This acid eats away minerals from the tooth’s surface, making the tooth weaker and increasing the chance of developing cavities. Fluoride helps to rebuild and strengthen the tooth’s surface, or enamel. Water fluoridation prevents tooth decay by providing frequent and consistent contact with low levels of fluoride. By keeping the tooth strong and solid, fluoride stops cavities from forming and can even rebuild the tooth’s surface."
what kind of rash could pravastatin cause,"In rare cases, it’s possible to have a serious allergic reaction to pravastatin. ... The warning signs of a serious allergic reaction are:    getting a skin rash that may include itchy, red, swollen, blistered or peeling skin"
how long does marijuana it stay in system,"The effects of marijuana usually last from 1 to 3 hours, but marijuana can stay in the body for days or even weeks after use. Organs in the body have fatty tissues that absorb the THC in marijuana. In general, standard urine tests can detect THC several days after use. In people who use heavily, however, urine tests can sometimes detect THC for several weeks."
how long before a meal should lansoprazole be taken,Swallow 1 capsule with a glass of water before eating in the morning.
what is the lowest dose of hydrochlorothiazide,For Edema: The usual adult dosage is 25 to 100 mg daily as a single or divided dose.
how often do you take flu vaccine?,Everyone 6 months of age and older should get a flu vaccine every season.
what time of day to take aripiprazole,"Aripiprazole comes as a tablet, a solution (liquid), and an orally disintegrating tablet (tablet that dissolves quickly in the mouth) to take by mouth. It is usually taken once a day with or without food. Take aripiprazole at around the same time every day."
should metoprolol and lexapro be taken together?,Coadministration of Lexapro and metoprolol had no clinically significant effects on blood pressure or heart rate.
what does hydro coding acet 5-325,Hydrocodone bitartrate and acetaminophen tablets are indicated for the relief of moderate to moderately severe pain.
what valacyclovir looks like in color shape,Color - WHITE; Shape - OVAL; Score - 2 pieces; Size - 20mm; Imprint Code - 54518
do antibiotics like keflex continue working after cessation of drug ?,Cephalexin is excreted in the urine by glomerular filtration and tubular secretion. Studies showed that over 90% of the drug was excreted unchanged in the urine within 8 hours.
are there antibiotics for cold symtoms?,"The list of ineffective cold remedies is long. Some of the more common ones that don't work include: Antibiotics. These attack bacteria, but they're no help against cold viruses."
what is the drug to drug interation for luvox and quillivant,"AUGMENTATION OF SELECTIVE serotonin re‐uptake inhibitor (SSRI) therapy with methylphenidate is one form of next‐step treatment for patients with refractory major depression, especially in elderly patients.1 We present what we believe to be the first reported case of serotonin syndrome induced by augmentation of SSRI with methylphenidate."
"what is the imprint on metoprolol succ., 50 mg","50 mg tablets: White, round, coated tablets debossed with Andrx logo and “831” on one side and scored on the other side."
what does the pill oxybutynin look like,Product Characteristics Color BLUE (light blue) Score 2 pieces Shape ROUND Size 8mm Imprint Code 4853;V
exercise restrictions with taking moxifloxacin?,"Fluoroquinolones, including Moxifloxacin Tablets, have been associated with an increased risk of tendinitis and tendon rupture in all ages [see Warnings and Precautions ( 5.1) and Adverse Reactions ( 6.2)] . This adverse reaction most frequently involves the Achilles tendon, and has also been reported with the rotator cuff (the shoulder), the hand, the biceps, the thumb, and other tendons. Tendinitis or tendon rupture can occur within hours or days of starting moxifloxacin or as long as several months after completion of therapy. Tendinitis and tendon rupture can occur bilaterally.

The risk of developing fluoroquinolone-associated tendinitis and tendon rupture is increased in patients over 60 years of age, in patients taking corticosteroid drugs, and in patients with kidney, heart or lung transplants. Other factors that may independently increase the risk of tendon rupture include strenuous physical activity, renal failure, and previous tendon disorders such as rheumatoid arthritis. Tendinitis and tendon rupture have also occurred in patients taking fluoroquinolones who do not have the above risk factors. Discontinue Moxifloxacin Tablets immediately if the patient experiences pain, swelling, inflammation or rupture of a tendon. Patients should be advised to rest at the first sign of tendinitis or tendon rupture, and to contact their healthcare provider regarding changing to a non-quinolone antimicrobial drug. Avoid fluoroquinolones, including Moxifloxacin Tablets, in patients who have a history of tendon disorders or who have experienced tendinitis or tendon rupture [see Adverse Reactions"
qvar 40mg what is it for,"QVAR is indicated in the maintenance treatment of asthma as prophylactic therapy in patients 5 years of age and older. QVAR is also indicated for asthma patients who require systemic corticosteroid administration, where adding QVAR may reduce or eliminate the need for the systemic corticosteroids."
what is the maximum dose of pregabalin,"In view of the dose-dependent adverse reactions, treatment with doses above 300 mg/day is not recommended"
is there an antacid malox?,"MAALOX ANTACID - aluminum hydroxide, magnesium hydroxide, simethicone liquid "
